aX,aY,aZ,gX,gY,gZ
-0.328,-0.488,3.560,-146.912,-59.875,-25.818
-0.490,-0.264,3.431,-323.914,53.650,-23.499
-0.452,-0.186,3.140,-460.388,177.185,-52.856
-0.239,-0.069,2.547,-508.423,204.712,-76.294
-0.164,0.004,2.343,-579.224,223.206,-123.535
-0.324,-0.121,1.667,-612.244,242.310,-149.414
-0.475,-0.461,0.514,-646.973,323.181,-216.675
-0.402,-0.645,0.029,-632.202,356.995,-251.465
-0.036,-0.902,-0.488,-586.853,346.863,-292.847
0.083,-0.986,-0.545,-546.753,245.361,-271.118
0.117,-0.910,-0.852,-505.005,213.684,-236.755
0.163,-0.744,-1.059,-365.540,220.459,-148.926
0.151,-0.727,-1.030,-295.227,208.740,-109.131
-0.034,-0.879,-0.901,-239.807,143.066,-52.856
-0.097,-0.842,-1.000,-254.761,91.003,-41.077
-0.139,-0.709,-1.347,-250.977,73.730,-49.316
-0.101,-0.668,-1.539,-198.486,49.438,-70.007
0.132,-0.609,-1.948,-145.142,41.260,-73.303
0.423,-0.612,-1.880,-10.803,25.879,-50.842
0.514,-0.624,-1.668,86.914,-3.845,0.305
0.583,-0.503,-1.265,112.366,-25.024,26.001
0.584,-0.379,-1.128,139.526,-73.181,57.678
0.587,-0.137,-0.958,148.010,-92.651,63.538
0.625,-0.004,-0.858,166.260,-108.704,67.139
0.653,0.033,-0.797,187.500,-104.858,74.707
0.690,0.108,-0.588,194.519,-103.088,81.909
0.688,0.146,-0.448,196.594,-105.408,95.764
0.642,0.236,-0.215,190.124,-106.445,98.267
0.619,0.279,-0.164,166.870,-103.882,90.027
0.586,0.350,-0.209,156.494,-101.685,82.825
0.577,0.378,-0.263,153.809,-94.910,71.716
0.529,0.387,-0.368,160.461,-91.248,68.909
0.485,0.344,-0.412,185.120,-88.196,66.406
0.491,0.308,-0.394,217.773,-90.881,68.481
0.580,0.266,-0.261,234.741,-96.741,74.646
0.577,0.260,-0.137,261.902,-116.760,100.159
0.516,0.346,0.059,272.217,-125.305,115.295
0.341,0.450,0.236,293.701,-146.606,132.263
0.266,0.476,0.327,307.739,-162.292,120.117
0.258,0.531,0.514,321.167,-164.001,108.826
0.243,0.523,0.637,363.831,-173.523,95.337
0.089,0.463,1.015,373.718,-175.537,89.600
-0.007,0.454,1.187,336.609,-149.536,55.603
-0.054,0.488,1.243,297.058,-120.361,25.391
0.020,0.498,1.166,226.562,-58.167,-36.804
0.313,0.366,1.156,203.918,-27.466,-57.129
0.535,0.147,1.300,196.167,-30.029,-40.405
0.508,0.139,1.375,148.376,-56.396,8.789
0.378,0.315,1.470,121.216,-64.941,18.433
0.374,0.374,1.492,98.206,-75.989,13.184
0.337,0.307,1.472,93.506,-74.951,11.414
0.296,0.267,1.420,66.101,-51.025,13.184
0.251,0.293,1.260,48.767,-31.067,12.939
0.266,0.326,1.182,23.254,2.258,8.301
0.306,0.350,1.014,15.137,11.169,5.310
0.320,0.339,0.938,5.493,16.479,-0.122
0.350,0.316,0.830,5.249,13.977,-2.502
0.374,0.290,0.823,20.081,0.977,-4.272
0.405,0.201,0.933,32.654,-9.094,-1.160
0.359,0.139,1.074,46.387,-27.039,11.475
0.318,0.144,1.119,36.987,-33.569,21.118
0.254,0.213,1.137,27.954,-32.837,21.606
0.240,0.246,1.117,14.771,-21.301,15.808
0.262,0.268,1.068,5.615,-3.906,6.958
0.296,0.270,1.010,0.305,0.732,4.028
0.306,0.275,0.982,-6.287,0.854,1.282
0.315,0.292,0.948,-5.859,-1.160,0.427
0.320,0.292,0.941,0.732,-2.380,-1.038
0.331,0.268,0.934,3.235,-1.465,-1.404
0.336,0.256,0.925,1.343,1.099,-1.526
0.344,0.250,0.901,-1.099,2.441,-1.282
0.343,0.246,0.893,-2.014,3.174,0.977
0.315,0.236,0.897,-1.038,1.770,2.991
0.294,0.240,0.905,-0.305,-4.700,5.615
0.256,0.255,0.918,0.671,-7.629,5.249
0.238,0.243,0.930,4.639,-8.179,2.869
0.236,0.234,0.933,4.150,-3.479,2.380
0.231,0.250,0.922,2.014,-1.160,2.136
0.235,0.265,0.909,0.977,2.075,-0.366
0.260,0.272,0.894,2.625,2.563,-2.197
0.277,0.264,0.895,5.737,1.038,-3.662
0.297,0.257,0.906,5.432,-0.549,-2.869
0.297,0.262,0.913,3.174,-3.967,-0.793
0.308,0.266,0.946,3.052,-4.761,-0.366
0.313,0.243,1.000,3.174,-6.042,0.000
0.302,0.240,1.007,2.808,-3.418,0.854
0.282,0.242,0.967,3.357,0.671,1.465
0.273,0.242,0.938,1.770,6.104,2.075
0.261,0.249,0.897,-0.305,5.798,1.587
0.261,0.249,0.888,-0.549,2.991,-0.305
0.269,0.239,0.889,1.709,1.465,-0.916
0.272,0.234,0.898,5.005,-0.916,-0.732
0.280,0.233,0.927,4.822,-1.648,-0.610
0.295,0.228,0.954,3.235,-0.977,-0.916
0.304,0.225,0.960,2.014,0.366,-0.916
0.310,0.231,0.941,-0.671,2.747,-0.366
0.308,0.239,0.925,0.061,3.723,0.244
0.303,0.247,0.905,1.831,3.601,0.244
0.300,0.246,0.903,4.150,1.892,-0.122
0.294,0.244,0.913,4.333,1.221,-0.183
0.292,0.243,0.919,4.761,2.075,-0.366
0.286,0.233,0.929,5.432,3.052,-0.671
0.279,0.223,0.931,6.104,3.723,-1.831
0.281,0.221,0.930,6.165,4.089,-2.869
0.294,0.211,0.931,6.104,4.150,-2.686
0.300,0.206,0.933,2.991,2.319,-0.244
0.296,0.218,0.936,1.038,0.732,1.465
0.285,0.230,0.937,-0.244,-1.465,2.625
