aX,aY,aZ,gX,gY,gZ
-0.439,1.394,1.384,-6.531,-17.273,-62.561
-0.559,1.686,1.450,4.639,38.513,-75.073
-0.635,1.658,1.355,-3.967,78.308,-86.182
-0.713,0.942,0.912,-95.093,122.253,-135.376
-0.647,0.472,0.625,-256.653,51.392,-188.904
-0.456,-0.287,0.171,-303.101,-13.733,-205.811
-0.205,-1.297,0.327,-212.830,-116.821,-244.629
0.001,-1.824,0.766,71.777,-156.128,-238.281
0.275,-2.243,1.675,195.190,-147.034,-201.050
0.344,-2.229,1.867,235.657,-90.576,-130.676
0.464,-1.919,1.861,179.321,-66.833,-99.365
0.403,-1.664,1.728,55.176,-27.283,-23.315
0.060,-1.223,1.263,21.240,1.831,8.362
-0.079,-1.073,1.042,11.902,47.546,35.278
-0.218,-0.792,0.852,16.907,53.162,36.194
-0.223,-0.630,0.841,10.376,42.969,29.846
-0.200,-0.629,0.827,-36.987,23.071,31.799
-0.138,-0.679,0.812,-63.110,10.681,38.574
-0.111,-0.714,0.821,-85.937,-9.033,56.946
-0.024,-0.625,0.912,-79.895,-12.573,70.374
-0.032,-0.496,0.943,-47.363,0.854,99.121
-0.075,-0.269,0.922,-28.381,15.564,105.957
-0.062,-0.137,0.846,-0.732,34.180,107.178
-0.043,-0.049,0.831,3.540,31.921,106.201
-0.017,0.121,0.894,3.174,14.648,107.910
-0.005,0.190,0.952,-0.122,6.165,110.107
-0.030,0.343,1.017,-12.390,-0.916,112.488
-0.075,0.417,1.013,-17.578,2.625,108.887
-0.142,0.491,0.965,-22.156,17.395,89.905
-0.149,0.516,0.935,-23.682,21.423,78.552
-0.147,0.532,0.927,-22.217,15.991,62.195
-0.131,0.523,0.961,-15.686,0.854,49.500
-0.099,0.508,1.034,-12.146,-2.808,44.983
-0.091,0.510,1.049,-0.916,6.897,36.926
-0.096,0.481,1.024,6.226,15.320,32.166
-0.106,0.452,0.999,15.442,22.644,21.301
-0.103,0.373,0.971,15.747,20.386,15.625
-0.079,0.343,0.979,11.047,8.240,7.507
-0.045,0.282,1.004,7.874,2.991,4.883
-0.028,0.243,1.008,2.563,-2.502,-2.686
0.028,0.150,1.024,0.366,-4.578,-5.859
